Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
GC,2002,Sports,Acclaim Entertainment,0.06,88,16,7.8,5
PS2,2002,Sports,Acclaim Entertainment,0.35,85,31,8.7,14
PC,2011,Simulation,bitComposer Games,0.03,65,5,6.4,24
PS2,2001,Sports,Sony Computer Entertainment,0.23,70,18,5.8,12
PS2,2005,Shooter,Playlogic Game Factory,0.12,39,4,8.1,9
XB,2001,Shooter,Konami Digital Entertainment,0.18,61,21,7.1,7
PS2,2004,Simulation,Konami Digital Entertainment,0.11,66,22,7,6
PC,2011,Simulation,Kalypso Media,0.05,57,4,5.5,30
X360,2010,Action,Microsoft Game Studios,1.33,83,100,8.1,1156
PC,2012,Action,Nordic Games,0.06,83,30,8,1473
XB,2004,Action,Acclaim Entertainment,0.05,64,37,6,4
PS2,2004,Action,Acclaim Entertainment,0.11,64,31,8,10
Wii,2010,Adventure,Disney Interactive Studios,0.51,69,18,7.4,13
PS3,2011,Adventure,Electronic Arts,0.58,70,51,7.9,181
X360,2011,Adventure,Electronic Arts,0.5,70,67,8.1,157
PC,2011,Adventure,Electronic Arts,0.12,75,29,8.4,559
PS2,2004,Shooter,Zoo Digital Publishing,0.1,78,47,8.3,13
GC,2004,Shooter,O3 Entertainment,0.09,78,28,8.5,15
PS,2000,Shooter,Fox Interactive,0.16,61,12,7.5,15
PSP,2007,Role-Playing,Sega,0.08,51,20,6,9
Wii,2007,Role-Playing,Sega,0.06,48,24,7.1,23
XOne,2014,Shooter,Sega,0.51,78,24,7.8,314
PS4,2014,Shooter,Sega,1.13,79,50,8.1,795
PC,2014,Shooter,Sega,0.14,81,41,8.4,1588
DS,2009,Action,Playlogic Game Factory,0.05,58,7,6,5
XB,2003,Strategy,Electronic Arts,0.08,64,19,7.7,21
PS2,2003,Strategy,Electronic Arts,0.19,66,17,8.4,30
PS3,2010,Shooter,Sega,1.04,65,57,7.3,168
X360,2010,Shooter,Sega,1.06,64,64,7.3,247
PC,2010,Shooter,Sega,0.19,68,35,7.4,985
PSP,2007,Action,Vivendi Games,0.22,49,34,5.6,19
PC,2013,Shooter,Sega,0.18,45,40,3.5,1156
PS3,2013,Shooter,Sega,0.6,43,25,3.6,295
X360,2013,Shooter,Sega,0.77,48,47,3.8,449
DS,2011,Action,Sega,0.16,76,43,8.2,29
X360,2007,Sports,Take-Two Interactive,0.26,75,22,6.8,52
PS3,2007,Sports,Take-Two Interactive,0.15,73,23,7.3,21
GC,2001,Sports,Acclaim Entertainment,0.22,66,17,5.6,9
PS2,2001,Sports,Acclaim Entertainment,0.56,77,16,7.6,8
GC,2002,Sports,Acclaim Entertainment,0.15,83,16,8,6
XB,2002,Sports,Acclaim Entertainment,0.26,79,15,8.1,7
PS2,2002,Sports,Acclaim Entertainment,0.77,81,15,8.4,17
PS2,2003,Sports,Acclaim Entertainment,0.42,78,19,7.5,11
XB,2003,Sports,Acclaim Entertainment,0.13,74,20,8.4,7
GC,2003,Sports,Acclaim Entertainment,0.08,80,14,9.2,5
Wii,2008,Adventure,Atari,0.18,39,10,4.4,34
PS2,2008,Adventure,Atari,0.06,47,10,5.4,24
PC,2008,Adventure,Atari,0.01,55,19,5.7,148
X360,2008,Adventure,Atari,0.48,58,53,5.7,162
PS3,2008,Adventure,Atari,0.13,69,25,5.6,50
PS3,2010,Role-Playing,Sega,0.43,64,49,6.9,117
X360,2010,Role-Playing,Sega,0.39,63,68,7.2,201
PC,2010,Role-Playing,Sega,0.03,72,25,7.5,511
PS2,2003,Shooter,THQ,0.13,62,26,7,9
PC,1985,Simulation,Activision,0.03,59,9,5.8,19
GBA,2002,Action,THQ,0.09,63,13,4.8,4
PS,1997,Role-Playing,Psygnosis,0.23,86,9,9,41
Wii,2007,Misc,Eidos Interactive,0.05,30,4,3.6,20
PS2,2007,Misc,Brash Entertainment,0.07,33,5,4.5,6
GC,2004,Strategy,Sega,0.06,59,22,6.6,7
XB,2004,Racing,Zoo Digital Publishing,0.15,44,6,5.9,9
PS2,2004,Racing,Zoo Digital Publishing,0.42,47,4,7.5,13
PS2,2003,Misc,Codemasters,0.55,41,14,4.8,12
XB,2005,Shooter,Ubisoft,0.25,70,19,7.4,21
X360,2007,Shooter,Ubisoft,0.08,43,11,6.7,55
DS,2010,Simulation,Nintendo,0.26,87,4,5.6,9
XB,2003,Sports,Mud Duck Productions,0.3,48,6,4.4,8
PS2,2006,Sports,Mastertronic,0.02,30,4,4.2,5
XB,2003,Sports,Microsoft Game Studios,0.25,80,34,7.7,20
X360,2005,Sports,Take-Two Interactive,0.16,72,49,7.1,36
XB,2001,Sports,Microsoft Game Studios,0.82,78,30,9,20
PS2,2003,Misc,Sony Computer Entertainment,0.18,86,35,8.8,26
X360,2012,Action,Sega,0.17,73,38,7.9,105
PS3,2012,Action,Sega,0.2,71,35,8.2,106
PS4,2013,Strategy,Activision,0.21,47,5,2,87
PS3,2013,Strategy,Activision,0.29,49,6,3.6,23
X360,2013,Strategy,Activision,0.28,59,3,5.6,25
XOne,2013,Strategy,Activision,0.16,53,4,6.9,63
X360,2012,Action,Activision,0.26,63,13,3.5,27
PS3,2012,Action,Activision,0.16,66,8,3.7,20
3DS,2012,Action,Activision,0.63,62,7,4.6,20
PS4,2016,Action,Avanquest,0.02,52,13,7.9,34
GC,2001,Simulation,Nintendo,3.15,87,42,8.9,137
WiiU,2015,Misc,Nintendo,0.41,46,20,4.4,173
Wii,2008,Simulation,Nintendo,4.62,73,50,7.6,119
3DS,2015,Simulation,Nintendo,3.05,66,60,6.9,106
3DS,2012,Simulation,Nintendo,9.16,88,70,8.7,626
DS,2005,Simulation,Nintendo,12.13,86,57,8.7,242
DS,2007,Simulation,Lexicon Entertainment,0.03,33,4,2.5,4
DS,2007,Simulation,Touchstone,0.13,78,14,7.5,19
PC,2011,Strategy,Ubisoft,1.43,83,33,7,493
PC,2015,Strategy,Ubisoft,0.25,72,45,5.9,278
PS2,2002,Racing,Empire Interactive,0.04,31,5,5,8
XB,2002,Racing,Empire Interactive,0.02,35,4,8.7,10
Wii,2007,Platform,Metro 3D,0.07,19,5,2.7,28
PS3,2010,Simulation,Activision,0.2,66,17,6.1,12
X360,2010,Simulation,Activision,0.16,70,26,6.4,31
PC,2010,Simulation,Just Flight,0.03,64,7,7.5,18
PC,2011,Role-Playing,Iceberg Interactive,0.04,56,12,5.7,269
PS,1999,Platform,Sony Computer Entertainment,1.63,90,19,8.8,53
PS2,2002,Platform,Sony Computer Entertainment,0.63,82,31,8.4,32
PS2,2005,Platform,Sony Computer Entertainment,0.13,77,51,8.5,22
PSP,2004,Misc,Sony Computer Entertainment,0.33,51,48,5.8,4
PSP,2005,Platform,Sony Computer Entertainment,0.7,66,35,6.4,16
XB,2003,Racing,Atari,0.14,74,26,9.1,7
DS,2007,Adventure,Capcom,0.99,78,48,8.1,84
PS2,2007,Racing,Midway Games,0.07,37,19,5.9,10
GC,2003,Action,TDK Mediactive,0.01,27,9,3.1,19
PS3,2012,Fighting,Aqua Plus,0.11,75,13,7.8,20
PS3,2014,Role-Playing,Tecmo Koei,0.16,67,23,7.8,49
PS3,2010,Role-Playing,Tecmo Koei,0.24,61,27,5.4,101
PS2,2006,Role-Playing,505 Games,0.1,71,30,7.7,43
Wii,2009,Role-Playing,Marvelous Interactive,0.19,64,26,7.8,43
PS2,2004,Role-Playing,Sony Computer Entertainment,0.06,59,24,4.2,10
PS2,2003,Role-Playing,Sony Computer Entertainment,0.36,72,39,8.2,33
PS2,2007,Fighting,AQ Interactive,0.16,77,12,8.1,8
PS3,2011,Fighting,PQube,0.2,73,10,7.5,27
PC,2010,Role-Playing,JoWood Productions,0.19,63,25,4.4,307
X360,2010,Role-Playing,JoWood Productions,0.09,64,21,5.2,52
PSP,2005,Puzzle,Ignition Entertainment,0.56,75,39,6.6,21
PS2,2001,Racing,Midway Games,0.36,45,23,5.3,10
XB,2005,Shooter,Midway Games,0.29,72,43,8.1,16
PS2,2005,Shooter,Midway Games,0.45,75,37,8.4,52
XB,2006,Sports,Electronic Arts,0.15,65,17,8.5,10
PS2,2006,Sports,Electronic Arts,0.56,66,18,8.6,14
DS,2007,Puzzle,Square Enix,0.06,61,29,7,5
PC,2009,Shooter,505 Games,0.14,77,38,7.5,589
PC,2013,Shooter,Bohemia Interactive,0.11,74,38,7.4,866
XB,2003,Shooter,LucasArts,0.13,79,41,7.2,15
PS2,2000,Simulation,Ubisoft,0.79,78,23,8.4,19
PS2,2001,Simulation,Metro 3D,0.41,75,16,8.8,30
PS2,2002,Simulation,Metro 3D,0.67,74,23,9,33
PSP,2009,Simulation,From Software,0.08,43,6,6.7,6
PS3,2006,Simulation,505 Games,0.2,65,36,6.8,25
X360,2007,Simulation,505 Games,0.25,65,31,7.2,31
X360,2012,Simulation,Namco Bandai Games,0.21,68,37,7.2,37
PS3,2012,Simulation,Namco Bandai Games,0.39,65,26,7.3,47
PS3,2008,Simulation,Ubisoft,0.19,62,22,7.6,31
X360,2008,Simulation,Ubisoft,0.15,64,22,7.7,38
PS2,2005,Simulation,505 Games,0.18,59,16,8.9,14
PS2,2004,Simulation,Indie Games,0.26,73,19,8.7,7
PS2,2004,Simulation,505 Games,0.07,57,25,8.2,5
PS3,2013,Simulation,From Software,0.12,66,18,7.4,28
PSV,2011,Action,Square Enix,0.09,57,43,6.6,28
PS,2000,Action,3DO,0.3,74,8,5.3,4
PS2,2001,Action,3DO,0.13,39,13,3.8,4
XB,2006,Shooter,Global Star,0.02,36,6,4,5
PS,2000,Shooter,3DO,0.24,48,8,7.3,7
PS2,2001,Shooter,Midas Interactive Entertainment,0.17,54,15,4.6,5
GC,2004,Shooter,Global Star,0.15,56,11,6.7,7
PS3,2008,Shooter,Electronic Arts,1.17,74,43,7.3,118
X360,2008,Shooter,Electronic Arts,1.64,72,76,7.6,233
PSP,2010,Shooter,Electronic Arts,0.32,49,11,6,32
PS3,2010,Shooter,Electronic Arts,0.85,74,56,7,88
X360,2010,Shooter,Electronic Arts,0.95,73,79,7.3,126
X360,2013,Shooter,Electronic Arts,0.26,54,55,6.2,195
PS3,2013,Shooter,Electronic Arts,0.28,58,27,6.7,100
PS4,2015,Action,Tecmo Koei,0.09,69,43,6.6,23
DS,2010,Misc,Nintendo,2.52,75,15,8,5
WiiU,2015,Misc,Nintendo,0.01,82,9,8.3,20
3DS,2012,Action,Nintendo,0.46,81,14,7.6,22
PS2,2006,Fighting,Crave Entertainment,0.04,60,19,7,4
XB,2003,Role-Playing,Mindscape,0.05,71,31,8.2,6
3DS,2011,Racing,Ubisoft,0.49,43,37,4.4,24
PSV,2011,Action,Ubisoft,0.22,49,33,4.8,28
DS,2004,Racing,Ubisoft,0.59,60,38,7.5,13
PS3,2007,Adventure,Ubisoft,4.82,81,40,7.3,769
X360,2007,Adventure,Ubisoft,5.54,81,77,7.7,1074
PSV,2016,Action,Ubisoft,0.07,70,6,8,24
PS4,2015,Action,Ubisoft,0.04,69,44,6.4,83
PS3,2009,Action,Ubisoft,5.55,91,70,8.6,1202
X360,2009,Action,Ubisoft,5.26,90,82,8.8,1305
PC,2010,Action,Ubisoft,0.55,86,22,6.9,1611
DS,2009,Action,Ubisoft,0.28,69,20,7.3,22
PC,2012,Action,Ubisoft,0.93,80,21,6.2,1489
X360,2012,Action,Ubisoft,5.29,84,61,6.7,1196
PS3,2012,Action,Ubisoft,6.45,85,41,6.9,1307
WiiU,2012,Action,Ubisoft,0.35,85,26,7.1,216
PSV,2012,Action,Ubisoft,1.32,70,71,7.2,318
WiiU,2013,Action,Ubisoft,0.29,86,5,7.7,207
PC,2013,Action,Ubisoft,0.64,84,10,7.7,1470
PS4,2013,Action,Ubisoft,2.85,83,29,7.8,1530
X360,2013,Action,Ubisoft,3.3,86,35,7.9,701
PS3,2013,Action,Ubisoft,3.71,88,36,8.1,840
PC,2015,Action,Ubisoft,0.21,74,14,5.9,544
XOne,2015,Action,Ubisoft,1.3,78,22,6.1,402
PS4,2015,Action,Ubisoft,3.39,76,86,6.8,1319
PS4,2016,Action,Ubisoft,0.2,72,32,7.4,49
XOne,2016,Action,Ubisoft,0.08,74,13,7.6,24
DS,2008,Platform,Ubisoft,0.05,58,30,6.3,30
PSP,2009,Action,Ubisoft,1.23,63,38,7.2,69
PS3,2010,Action,Ubisoft,2.82,90,59,8.2,791
X360,2010,Action,Ubisoft,3.49,89,81,8.3,693
PC,2011,Action,Ubisoft,0.59,88,24,8.2,1102
X360,2011,Action,Ubisoft,4.19,80,77,7.2,564
PC,2011,Action,Ubisoft,0.74,80,20,7.4,771
PS3,2011,Action,Ubisoft,4.22,80,39,7.5,613
X360,2014,Action,Ubisoft,1.01,72,32,7.3,318
PS3,2014,Action,Ubisoft,1.29,72,53,7.5,292
PC,2015,Action,Ubisoft,0.08,74,25,7.5,362
PC,2014,Action,Ubisoft,0.55,70,10,3,1463
