Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
PC,2013,Shooter,Trion Worlds,0.21,64,40,6.5,661
PS3,2013,Shooter,Trion Worlds,0.35,59,21,6.9,145
X360,2013,Shooter,Trion Worlds,0.57,60,27,7.2,249
XB,2005,Shooter,NovaLogic,0.34,61,37,6.6,19
PS2,2005,Shooter,NovaLogic,0.46,58,25,8.8,51
DS,2010,Shooter,SouthPeak Games,0.11,75,25,8.3,31
DS,2007,Shooter,SouthPeak Games,0.17,72,48,7.9,37
PC,2009,Strategy,Atari,0.02,76,50,7.9,183
GBA,2002,Role-Playing,Atlus,0.02,62,8,8.3,15
PSV,2013,Role-Playing,Nippon Ichi Software,0.17,70,38,7.4,129
PS3,2009,Role-Playing,Namco Bandai Games,1.82,89,81,8.9,1441
PS3,2014,Fighting,Sega,0.16,66,13,8.2,29
PSV,2014,Fighting,Sega,0.13,75,7,8.5,28
PC,2012,Adventure,Daedalic,0.15,74,33,8.2,307
XOne,2014,Shooter,Activision,3.37,75,11,5.5,1735
PS4,2014,Shooter,Activision,5.64,76,95,6.1,5380
XOne,2015,Shooter,Activision,1.19,89,11,5.2,393
PS4,2015,Shooter,Activision,1.93,86,81,6,1079
PS2,2004,Racing,Sony Computer Entertainment,0.13,57,27,7.8,14
PS,2000,Racing,Sony Computer Entertainment,0.14,69,9,7.3,14
PC,2000,Role-Playing,Eidos Interactive,0.01,90,28,9.3,1069
PS3,2011,Shooter,Square Enix,1.37,89,50,8.2,682
X360,2011,Shooter,Square Enix,1.37,89,70,8.3,684
PC,2011,Shooter,Square Enix,0.58,90,52,8.5,3069
XB,2003,Shooter,Eidos Interactive,0.33,84,50,7.6,37
PC,2016,Role-Playing,Square Enix,0.03,83,55,6.1,684
XOne,2016,Role-Playing,Square Enix,0.17,83,18,7.2,175
PS4,2016,Role-Playing,Square Enix,0.38,84,59,7.6,511
PS2,2002,Action,Eidos Interactive,0.21,81,25,8.9,49
PS2,2005,Action,Capcom,0.25,64,27,7.4,12
PS2,2001,Action,Capcom,2.99,94,37,8.5,466
PS2,2003,Action,Capcom,1.97,68,40,6.6,167
PS2,2005,Action,Capcom,2.09,84,60,9,212
X360,2008,Action,Capcom,1.34,84,61,8,248
PS3,2008,Action,Capcom,1.57,84,63,8.2,311
PC,2008,Action,Capcom,0.04,78,21,8.5,353
X360,2012,Action,Capcom,0.43,77,32,8.4,93
PS3,2012,Action,Capcom,0.82,74,27,8.8,158
WiiU,2015,Action,Nintendo,0.06,43,54,6.5,283
Wii,2007,Platform,Konami Digital Entertainment,0.16,67,29,6.3,15
PC,1996,Role-Playing,Activision,1.59,94,12,8.7,850
PC,2000,Role-Playing,Havas Interactive,0.13,88,34,8.8,1056
PC,2001,Role-Playing,Vivendi Games,1.06,87,21,9.1,639
PC,2012,Role-Playing,Activision,5.14,88,86,4,9629
PS3,2013,Role-Playing,Activision,1.91,86,43,6.4,557
X360,2013,Role-Playing,Activision,1.41,87,42,6.6,384
DS,2007,Racing,Nintendo,1.22,63,39,7.5,27
GC,2002,Shooter,NDA Productions,0.12,54,23,7,10
PS3,2014,Fighting,Namco Bandai Games,0.09,49,12,5.8,32
PS,1999,Strategy,Namco Bandai Games,0.11,51,5,9,44
PS,2001,Fighting,Namco Bandai Games,0.02,64,5,8.8,71
PS2,2004,Fighting,Atari,0.09,63,9,7.3,23
GC,2004,Fighting,Atari,0.04,71,5,8.1,7
XB,2004,Fighting,Atari,0.02,65,8,8.8,4
PS4,2016,Role-Playing,Namco Bandai Games,0.11,75,45,8.5,289
PS,2000,Role-Playing,Namco Bandai Games,0.58,42,5,7.6,47
PS2,2005,Role-Playing,Atari,0.15,48,7,6.9,37
GC,2005,Role-Playing,Namco Bandai Games,0.09,55,4,8.1,19
XB,2005,Role-Playing,Atari,0.03,54,5,8.8,4
DS,2008,Role-Playing,Namco Bandai Games,0.07,49,6,6.5,13
DS,2006,Role-Playing,Namco Bandai Games,0.1,71,8,7.6,27
PS2,2006,Role-Playing,Namco Bandai Games,0.24,43,12,8,20
PS,2000,Action,Virgin Interactive,1.21,86,13,9,91
XB,2003,Action,Capcom,0.14,51,28,4.1,22
PS4,2016,Sports,Avanquest,0.02,31,22,4.5,66
PS2,2002,Shooter,Capcom,0.22,50,18,6.3,8
DS,2007,Strategy,Sega,0.22,61,13,8,9
PS2,2006,Shooter,Square Enix,1.48,57,51,6.9,103
PC,2007,Racing,Codemasters,0.02,84,20,7.3,91
X360,2007,Racing,Codemasters,0.87,83,59,7.4,94
PS3,2007,Racing,Codemasters,1.05,83,32,8,32
Wii,2009,Racing,Codemasters,0.37,51,10,5.5,22
PSP,2009,Racing,Sony Computer Entertainment,0.32,55,13,5.7,10
PC,2009,Racing,Codemasters,0.05,89,22,8.2,352
X360,2009,Racing,Codemasters,0.8,87,65,8.2,110
PS3,2009,Racing,Codemasters,0.99,87,63,8.2,94
PC,2011,Racing,Codemasters,0.15,86,23,6.9,433
X360,2011,Racing,Codemasters,0.72,87,81,7.1,166
PS3,2011,Racing,Codemasters,1.06,87,52,7.1,122
XOne,2016,Racing,Codemasters,0.12,86,17,8,60
PS4,2016,Racing,Codemasters,0.37,85,46,8.1,196
PC,2016,Racing,Codemasters,0.03,86,33,8.7,288
PS3,2012,Racing,Codemasters,0.18,75,27,6.3,43
X360,2012,Racing,Codemasters,0.23,75,53,6.4,53
PS2,2002,Action,Agetec,0.21,66,28,8,7
PC,2010,Strategy,Kalypso Media,0.02,56,36,5.4,105
PS2,2006,Role-Playing,Tecmo Koei,0.33,84,54,6.4,42
PSP,2009,Role-Playing,Nippon Ichi Software,0.25,83,33,7.1,47
PS3,2008,Role-Playing,Square Enix,0.52,78,51,7.5,150
PS3,2011,Role-Playing,Nippon Ichi Software,0.57,80,39,7.8,126
PS4,2015,Role-Playing,Nippon Ichi Software,0.29,80,43,8.1,173
PS3,2013,Role-Playing,Nippon Ichi Software,0.21,74,37,8.1,61
DS,2008,Role-Playing,Square Enix,0.18,82,32,7.5,35
PSP,2010,Adventure,Nippon Ichi Software,0.09,64,15,4.4,40
PSP,2006,Role-Playing,Tecmo Koei,0.23,87,37,8.2,69
PS2,2003,Role-Playing,Tecmo Koei,0.33,84,42,8.9,74
PS3,2012,Action,Bethesda Softworks,1.53,89,35,7.9,781
X360,2012,Action,Bethesda Softworks,1.71,88,56,7.9,815
PC,2016,Action,Bethesda Softworks,0.12,86,37,6,383
XOne,2016,Action,Bethesda Softworks,0.22,88,22,6.8,156
PS4,2016,Action,Bethesda Softworks,0.64,88,56,7.7,569
3DS,2016,Action,Nintendo,0.11,72,16,6.8,5
PS2,2002,Sports,Electronic Arts,0.17,72,10,8.3,7
Wii,2010,Misc,Disney Interactive Studios,0.45,78,13,8,4
PS3,2013,Action,Disney Interactive Studios,0.97,75,21,5.9,47
X360,2013,Action,Disney Interactive Studios,1.44,74,38,6.5,79
WiiU,2013,Action,Disney Interactive Studios,0.6,71,10,7.6,58
3DS,2013,Adventure,Nintendo,0.92,71,27,7.5,21
PS3,2008,Misc,Disney Interactive Studios,0.37,54,11,3.5,6
X360,2008,Misc,Disney Interactive Studios,0.43,53,10,5.2,6
GC,2002,Sports,Konami Digital Entertainment,0.06,36,7,4.7,6
X360,2011,Action,Disney Interactive Studios,0.57,66,31,5.3,13
Wii,2011,Action,Disney Interactive Studios,1.02,61,11,6,5
PS3,2011,Action,Disney Interactive Studios,0.61,70,29,6.9,13
DS,2009,Adventure,Disney Interactive Studios,0.23,66,7,6.5,4
PS,2000,Action,Sony Computer Entertainment,0.09,61,11,8.3,7
PS,2001,Platform,Sony Computer Entertainment,0.17,73,7,8.5,6
PS2,2005,Platform,Disney Interactive Studios,0.65,60,20,8.9,7
PS,2000,Platform,Ubisoft,0.15,65,4,7,10
PS2,2000,Platform,Ubisoft,0.08,73,10,7.3,7
GC,2002,Platform,Ubisoft,0.04,61,7,3,4
GC,2003,Sports,Activision,0.12,76,18,7.6,5
XB,2003,Sports,Activision,0.11,76,15,8.3,7
PS2,2003,Sports,Activision,0.32,78,15,8.3,12
GBA,2005,Platform,Disney Interactive Studios,0.46,76,6,7.7,6
DS,2005,Platform,Disney Interactive Studios,0.13,61,14,7.5,4
GBA,2002,Platform,THQ,0.51,62,4,8.8,8
GC,2002,Adventure,Nintendo,0.19,50,9,8.9,10
Wii,2007,Action,Disney Interactive Studios,0.19,62,11,6.3,4
GC,2002,Misc,Electronic Arts,0.05,39,6,7.8,5
PS2,2002,Platform,Ubisoft,0.12,49,14,5,4
WiiU,2013,Simulation,Disney Interactive Studios,0.2,51,10,5.3,9
PS2,2002,Action,Sony Computer Entertainment,0.31,59,17,7.8,4
PS2,2001,Platform,Ubisoft,0.41,59,7,7.1,7
GC,2001,Platform,Ubisoft,0.18,61,11,7.4,8
PS,2000,Platform,Sony Computer Entertainment,0.31,66,8,7.2,6
PS,2000,Action,Activision,0.15,30,5,6.9,9
PSP,2011,Fighting,Square Enix,0.88,78,52,8.3,144
PSP,2008,Fighting,Square Enix,2.23,79,61,8,139
X360,2009,Role-Playing,DTP Entertainment,0.24,62,37,6.4,36
PC,2009,Role-Playing,DTP Entertainment,0.07,72,43,7.7,125
PC,2010,Role-Playing,DTP Entertainment,0.03,72,4,8.3,15
X360,2010,Role-Playing,Focus Home Interactive,0.13,72,13,7.8,50
PC,2014,Role-Playing,Focus Home Interactive,0.02,87,59,8.7,2089
PS2,2009,Misc,Activision,0.32,87,4,6.4,5
Wii,2009,Misc,Activision,0.76,87,22,7.6,19
PS3,2009,Misc,Activision,0.9,86,53,7.8,49
X360,2009,Misc,Activision,1.06,84,72,8,42
Wii,2010,Misc,Activision,0.62,88,20,7.5,17
PS3,2010,Misc,Activision,0.75,86,46,7.8,22
X360,2010,Misc,Activision,0.82,86,66,7.9,23
PSP,2009,Misc,PM Studios,0.11,77,5,6.5,13
GBA,2005,Platform,Nintendo,0.24,70,30,5,6
X360,2013,Action,Capcom,0.44,86,65,5.1,1438
PS3,2013,Action,Capcom,0.79,85,40,5.3,1471
3DS,2011,Adventure,Konami Digital Entertainment,0.16,53,19,6.1,8
X360,2010,Shooter,Rising Star Games,0.05,77,10,8.6,16
PS2,2003,Adventure,Sony Computer Entertainment,0.42,64,19,3.1,157
DS,2008,Role-Playing,Sting,0.05,60,16,7,8
PS2,2007,Role-Playing,Sting,0.11,61,8,6.5,8
Wii,2008,Role-Playing,Sting,0.13,73,11,8.3,17
PSV,2013,Adventure,Sony Computer Entertainment,0.01,66,7,5.7,16
PSV,2012,Action,GungHo,0.01,76,26,8,18
PS3,2014,Sports,Tru Blu Entertainment,0.01,73,5,6.9,55
PS4,2015,Sports,Tru Blu Entertainment,0.12,76,4,7.4,19
DS,2009,Sports,Take-Two Interactive,0.08,71,4,7.8,5
X360,2008,Sports,Take-Two Interactive,0.25,56,45,6.4,29
Wii,2007,Racing,Nintendo,0.62,46,34,6.8,26
GBA,2003,Platform,Nintendo,2.04,78,26,8.9,53
GBA,2004,Platform,Nintendo,1.23,80,22,9.1,37
GBA,2005,Platform,Nintendo,0.77,77,16,8.4,27
Wii,2010,Platform,Nintendo,6.44,87,77,8.6,368
WiiU,2014,Platform,Nintendo,1.52,83,77,8.9,712
GC,2004,Platform,Nintendo,1.34,80,49,8.3,30
GC,2003,Misc,Nintendo,1.15,76,55,8.3,21
GC,2004,Misc,Nintendo,0.39,69,30,6,9
PC,1992,Shooter,id Software,0.03,85,44,8.2,1796
GBA,2001,Shooter,Activision,0.14,81,24,8.5,15
PC,2004,Shooter,Activision,0.1,87,83,7.6,896
XB,2005,Shooter,Activision,1.34,88,71,7.4,116
PC,2012,Shooter,Bethesda Softworks,0.03,59,12,5.3,210
PS3,2012,Shooter,Bethesda Softworks,0.57,67,16,6.4,107
X360,2012,Shooter,Bethesda Softworks,0.47,67,30,6.5,132
XB,2005,Shooter,Activision,0.71,77,41,7.9,16
Wii,2008,Platform,Take-Two Interactive,0.55,47,4,7,5
GBA,2003,Action,Atlus,0.05,75,21,8.4,5
PS2,2003,Racing,Codemasters,0.47,79,40,8.9,32
PS2,2003,Misc,Vivendi Games,0.56,56,6,6.5,8
DS,2007,Fighting,505 Games,0.1,71,23,7.5,4
PS3,2011,Action,Electronic Arts,0.83,82,52,4.3,1197
PC,2011,Action,Electronic Arts,0.63,82,45,4.5,4533
X360,2011,Action,Electronic Arts,1.11,79,75,4.5,2380
PC,2014,Role-Playing,Electronic Arts,0.73,85,45,5.9,3926
XOne,2014,Role-Playing,Electronic Arts,0.93,85,28,6.9,703
PS4,2014,Role-Playing,Electronic Arts,2.01,89,43,7.4,1984
PS3,2009,Role-Playing,Electronic Arts,1.67,87,41,7.9,597
X360,2009,Role-Playing,Electronic Arts,2.56,86,68,7.9,725
PC,2009,Role-Playing,Electronic Arts,0.51,91,67,8.6,3542
GBA,2005,Action,Atari,0.28,69,12,8.2,26
X360,2012,Fighting,Namco Bandai Games,0.01,49,32,2.1,39
DS,2009,Role-Playing,Namco Bandai Games,0.36,73,21,7.9,24
X360,2014,Fighting,Namco Bandai Games,0.07,53,17,5.1,44
PS3,2014,Fighting,Namco Bandai Games,0.31,54,32,5.3,103
PSV,2014,Fighting,Namco Bandai Games,0.11,66,7,7.5,54
PS2,2002,Fighting,Atari,3.09,67,28,7.9,71
GC,2003,Fighting,Atari,0.69,65,16,6.3,15
PS2,2003,Fighting,Atari,2.41,66,28,8.2,92
GC,2004,Fighting,Atari,0.27,66,9,5.8,12
PS2,2004,Fighting,Atari,1.94,77,32,8.9,137
PS2,2005,Fighting,Atari,1.66,72,29,8.4,71
Wii,2006,Fighting,Atari,0.28,72,37,8.5,40
PS2,2006,Fighting,Atari,0.79,73,31,8.6,61
Wii,2007,Fighting,Atari,1.02,72,27,8.4,61
PS2,2007,Fighting,Atari,3,73,24,9.2,173
PS3,2008,Fighting,Atari,0.85,71,32,7.2,51
X360,2008,Fighting,Atari,0.49,72,50,7.6,41
GBA,2004,Action,Atari,0.61,62,19,8.9,39
GBA,2002,Misc,Infogrames,0.46,62,4,5.5,4
3DS,2015,Fighting,Namco Bandai Games,0.33,61,32,6.6,32
DS,2007,Role-Playing,Namco Bandai Games,0.2,57,16,6.2,10
PS2,2008,Fighting,Namco Bandai Games,0.36,48,17,7.9,37
PS2,2005,Fighting,Atari,0.46,49,13,5.4,29
XB,2005,Fighting,Atari,0.24,51,11,6.1,8
GC,2005,Fighting,Atari,0.21,48,11,6.6,11
PSP,2006,Fighting,Atari,0.54,70,21,8.1,19
GBA,2004,Fighting,Atari,0.51,73,26,7,21
DS,2005,Fighting,Atari,0.49,66,13,7.6,28
GBA,2003,Fighting,Atari,1.08,40,23,6.1,22
PSP,2010,Fighting,Namco Bandai Games,0.26,63,22,8.6,20
GBA,2002,Role-Playing,Infogrames,1.69,53,15,6.9,28
GBA,2003,Role-Playing,Atari,1.09,75,21,8.9,39
PS3,2011,Fighting,Namco Bandai Games,0.61,58,26,5.4,77
X360,2011,Fighting,Namco Bandai Games,0.54,55,24,5.8,52
GBA,2004,Action,Namco Bandai Games,0.04,75,7,8.5,11
PSP,2009,Fighting,Namco Bandai Games,0.1,28,16,0.9,50
3DS,2016,Role-Playing,Namco Bandai Games,0.21,68,12,7.6,16
DS,2008,Action,Atari,0.12,78,18,7.5,15
PS3,2009,Fighting,Namco Bandai Games,0.77,57,26,7.2,58
X360,2009,Fighting,Namco Bandai Games,0.51,56,29,7.5,33
X360,2010,Fighting,Namco Bandai Games,0.64,57,33,7.4,30
PS3,2010,Fighting,Namco Bandai Games,0.81,60,27,7.5,63
Wii,2009,Action,Namco Bandai Games,0.2,65,25,7.3,15
XOne,2015,Fighting,Namco Bandai Games,0.32,67,18,7.2,128
PS4,2015,Fighting,Namco Bandai Games,1.11,69,50,7.7,598
XOne,2016,Action,Namco Bandai Games,0.2,73,8,7.3,29
PS4,2016,Action,Namco Bandai Games,0.71,73,54,7.8,117
Wii,2007,Action,D3Publisher,0.18,51,19,7.5,17
DS,2005,Shooter,Konami Digital Entertainment,0.02,33,14,7,9
DS,2005,Action,Square Enix,0.44,83,41,7.6,45
DS,2007,Role-Playing,Square Enix,1.62,80,44,7.9,50
DS,2009,Role-Playing,Nintendo,5.78,87,65,8.8,197
DS,2006,Role-Playing,Square Enix,1.76,75,30,7.4,27
DS,2010,Role-Playing,Square Enix,1.41,77,33,7.3,15
Wii,2007,Role-Playing,Square Enix,0.7,65,43,5.9,21
DS,2008,Role-Playing,Square Enix,1.57,84,46,8.5,57
DS,2010,Role-Playing,Nintendo,1.73,78,41,8.1,31
PS2,2004,Role-Playing,Square Enix,5.21,89,63,8.8,245
PS2,2001,Shooter,3DO,0.06,50,9,6.4,9
PS,1999,Role-Playing,Sony Computer Entertainment,0.07,57,9,8.3,10
PSP,2007,Role-Playing,Tecmo Koei,0.07,56,30,6,7
PS3,2013,Role-Playing,Nippon Ichi Software,0.53,82,62,8.3,288
PSV,2013,Role-Playing,Nippon Ichi Software,0.35,78,15,8.4,198
X360,2012,Role-Playing,Capcom,0.79,75,59,7.8,320
PS3,2012,Role-Playing,Capcom,1.74,78,38,8.3,444
PS2,2002,Adventure,Sony Computer Entertainment,0.26,78,31,9,39
PS2,2003,Role-Playing,Square Enix,0.65,63,55,9.1,88
PS2,2005,Role-Playing,Ubisoft,0.13,58,34,5.5,49
PS3,2013,Role-Playing,Square Enix,0.31,61,33,7.7,237
DS,2007,Action,THQ,0.78,73,34,8.2,30
DS,2008,Adventure,THQ,1.48,68,12,5.5,4
Wii,2009,Puzzle,THQ,0.75,58,22,6,8
DS,2009,Puzzle,THQ,0.64,72,21,7.7,22
Wii,2008,Misc,SouthPeak Games,0.14,54,8,7.6,7
X360,2011,Misc,Sega,0.24,53,31,5.2,10
XB,2006,Adventure,Empire Interactive,0.04,73,42,8.8,24
XB,2004,Racing,Atari,0.76,56,57,4.7,69
PS2,2004,Racing,Atari,1.23,57,51,5.5,102
PS4,2014,Racing,Sony Computer Entertainment,2.07,71,85,6.1,1571
PS4,2016,Racing,Sony Computer Entertainment,0.09,67,34,7.4,110
PS2,2001,Racing,BAM! Entertainment,0.15,38,10,3.4,5
PS,1999,Action,GT Interactive,6.27,87,22,8.1,78
PS,2000,Action,Atari,4.73,62,14,7.7,92
GBA,2002,Action,Atari,0.34,73,9,6.6,14
PSP,2007,Racing,Ubisoft,0.24,57,28,7.9,18
XB,2006,Racing,Atari,0.07,69,31,4.6,17
PS2,2006,Racing,Atari,0.28,69,41,6.9,74
Wii,2007,Racing,Ubisoft,0.03,59,9,6,20
3DS,2011,Racing,Ubisoft,0.09,48,13,5,20
Wii,2011,Racing,Ubisoft,0.16,64,7,6.2,10
PC,2011,Racing,Ubisoft,0.18,80,11,7,332
X360,2011,Racing,Ubisoft,0.7,80,63,7.6,130
PS3,2011,Racing,Ubisoft,0.95,79,53,7.7,114
GC,2003,Racing,Electronic Arts,0.03,54,5,6.6,5
DS,2007,Strategy,Success,0.02,74,12,7.4,7
PS2,2002,Simulation,Sony Computer Entertainment,0.1,78,17,8.6,10
PS3,2013,Action,Capcom,0.05,75,31,7.4,135
PC,2013,Action,Capcom,0.02,66,6,7.6,152
WiiU,2013,Action,Capcom,0.06,76,10,7.9,100
PS2,2004,Strategy,Atari,0.27,66,20,8.3,6
GBA,2003,Misc,Atari,0.29,69,19,8,5
PS4,2016,Shooter,Gearbox Software,0.03,77,15,6.9,15
X360,2011,Shooter,Take-Two Interactive,0.83,49,76,4.4,456
PS3,2011,Shooter,Take-Two Interactive,0.76,51,48,4.9,278
PC,2011,Shooter,Take-Two Interactive,0.41,54,48,5.7,1183
PS,2000,Shooter,Atari,0.08,37,7,6.8,20
PC,2011,Role-Playing,Unknown,0.02,81,26,7.3,399
PSP,2007,Role-Playing,Rising Star Games,0.01,56,13,5.5,4
PSV,2012,Action,Ubisoft,0.2,49,34,6.4,61
PSP,2006,Role-Playing,Global A Entertainment,0.03,70,18,6.4,8
PC,2005,Role-Playing,Microsoft Game Studios,0.03,80,51,7.9,159
PC,2011,Role-Playing,Square Enix,0.17,72,37,4.7,399
X360,2011,Role-Playing,Square Enix,0.37,72,55,5.9,102
PS3,2011,Role-Playing,Square Enix,0.39,71,52,6.3,86
PSP,2006,Role-Playing,Take-Two Interactive,0.16,74,32,8.1,21
PC,2011,Strategy,Kalypso Media,0.09,65,35,4.6,106
PC,2011,Strategy,Kalypso Media,0.02,72,6,5.6,16
PS4,2016,Role-Playing,Kalypso Media,0.01,61,9,7.9,14
XOne,2015,Action,Warner Bros. Interactive Entertainment,1.29,74,26,7.8,387
PC,2015,Action,Warner Bros. Interactive Entertainment,0.2,75,40,7.9,1295
PS4,2015,Action,Warner Bros. Interactive Entertainment,2.09,74,58,7.9,1287
PS2,2002,Strategy,Tecmo Koei,0.29,79,14,8.1,31
PS2,2003,Strategy,Tecmo Koei,0.11,78,18,9.1,13
PSP,2004,Action,Tecmo Koei,0.51,62,26,7.3,24
PS2,2000,Action,THQ,0.83,75,17,8.8,24
PS2,2001,Action,THQ,1.87,78,17,9.1,90
XB,2002,Action,THQ,0.08,70,11,8.9,20
PS2,2002,Action,Tecmo Koei,1,72,16,9.3,54
XB,2003,Action,Tecmo Koei,0.16,75,18,8.8,18
PS2,2003,Action,Tecmo Koei,2.11,78,24,9.3,201
PS2,2004,Action,Tecmo Koei,0.32,71,29,8.8,19
PS2,2003,Action,Tecmo Koei,0.86,72,15,9.1,39
XB,2005,Action,Tecmo Koei,0.05,66,22,8,4
PS2,2005,Action,Tecmo Koei,1.39,69,29,8.8,68
X360,2006,Action,Tecmo Koei,0.13,61,40,8.2,19
PS2,2006,Action,Tecmo Koei,0.34,62,23,9.1,24
PS2,2005,Action,Tecmo Koei,0.57,57,22,9.1,26
PS3,2007,Action,Tecmo Koei,0.71,59,31,7.3,49
X360,2007,Action,Tecmo Koei,0.3,60,42,7.4,22
PS2,2008,Action,Tecmo Koei,0.25,43,7,5.4,14
PS3,2009,Action,Tecmo Koei,0.34,62,22,7,26
X360,2009,Action,Tecmo Koei,0.24,59,24,7.3,28
PS3,2011,Action,Tecmo Koei,0.91,57,25,7.4,57
X360,2011,Action,Tecmo Koei,0.24,58,22,8,46
PS3,2012,Action,Ubisoft Annecy,0.14,63,20,8,22
PS3,2011,Action,Tecmo Koei,0.26,64,11,7.8,9
X360,2013,Action,Tecmo Koei,0.15,65,21,7.5,35
PS3,2013,Action,Tecmo Koei,0.6,68,26,8.5,75
XOne,2014,Action,Tecmo Koei,0.07,58,10,6.8,15
PS4,2014,Action,Tecmo Koei,0.19,63,30,7.5,42
PSV,2015,Action,Tecmo Koei,0.02,70,15,7.4,9
PS3,2013,Action,Tecmo Koei,0.16,68,4,6.8,9
X360,2007,Action,Namco Bandai Games,0.19,55,34,6.8,20
PS3,2007,Action,Tecmo Koei,0.47,60,29,6.9,16
PSV,2011,Action,Tecmo Koei,0.24,67,35,7.5,73
PSP,2006,Action,Tecmo Koei,0.05,57,28,8.1,8
PS2,2008,Action,Namco Bandai Games,0.34,52,8,6.5,8
X360,2008,Action,Namco Bandai Games,0.19,49,30,7,18
PS3,2008,Action,Namco Bandai Games,0.49,54,22,7,28
PS3,2010,Action,Tecmo Koei,0.54,58,18,7.5,20
X360,2010,Action,Tecmo Koei,0.18,65,27,7.8,20
PS3,2013,Action,Tecmo Koei,0.23,64,35,7.5,25
X360,2009,Action,Tecmo Koei,0.23,59,18,5.7,12
PSP,2009,Action,Ubisoft Annecy,0.45,65,28,6.8,10
PS3,2009,Action,Tecmo Koei,0.29,64,27,7.3,15
GBA,2001,Action,NewKidCo,0.01,46,4,2.4,21
DS,2007,Sports,Electronic Arts,0.33,60,8,7.6,13
Wii,2007,Sports,Electronic Arts,1.29,66,32,7.6,30
Wii,2009,Sports,Electronic Arts,3.9,81,27,8.7,39
X360,2010,Sports,Electronic Arts,0.39,68,21,5.4,9
PS3,2010,Sports,Electronic Arts,0.91,78,20,5.4,14
Wii,2010,Sports,Electronic Arts,1.26,79,8,8.1,22
PS3,2010,Fighting,Electronic Arts,0.37,77,47,6.9,38
X360,2010,Fighting,Electronic Arts,0.35,79,63,7,55
PS4,2014,Sports,Electronic Arts,1.05,70,57,6.1,279
XOne,2014,Sports,Electronic Arts,0.47,70,23,6.3,152
XOne,2016,Sports,Electronic Arts,0.41,76,42,6,77
PS4,2016,Sports,Electronic Arts,0.93,79,38,6.2,157
PS4,2016,Adventure,Ubisoft,0.07,72,31,7.8,22
PSV,2014,Action,Xseed Games,0.07,72,20,8.5,22
X360,2006,Action,D3Publisher,0.08,69,55,7.7,60
PSV,2012,Action,D3Publisher,0.06,68,36,7.9,31
PS3,2013,Shooter,D3Publisher,0.35,69,28,7.5,52
X360,2013,Shooter,D3Publisher,0.15,68,25,8.1,63
PS4,2015,Shooter,Xseed Games,0.06,64,40,7.9,51
PS3,2011,Shooter,D3Publisher,0.2,63,28,7,24
X360,2011,Shooter,D3Publisher,0.19,68,40,8.2,45
GBA,2001,Platform,Interplay,0.29,72,10,5.7,6
GBA,2002,Platform,Vivendi Games,0.03,45,10,5.7,6
PC,2009,Strategy,Paradox Interactive,0.02,67,28,5.7,49
PS3,2009,Shooter,D3Publisher,0.13,51,38,6.5,21
X360,2009,Shooter,D3Publisher,0.12,53,53,7,27
PS2,2002,Adventure,Sony Computer Entertainment,0.14,71,17,8.5,11
PS2,2004,Adventure,Indie Games,0.04,60,22,8.8,8
PSP,2008,Puzzle,Sony Computer Entertainment,0.09,79,28,7.7,13
PS,1999,Fighting,Acclaim Entertainment,0.11,43,7,6.3,4
PS2,2005,Platform,Midway Games,0.41,50,5,7.6,16
XB,2005,Platform,Midway Games,0.02,56,6,7.7,6
GC,2005,Platform,Midway Games,0.25,55,4,7.9,10
GC,2002,Puzzle,Kemco,0.01,64,7,8,4
X360,2011,Action,Ignition Entertainment,0.16,75,44,7,47
PS3,2011,Action,Ignition Entertainment,0.28,78,46,7.5,40
Wii,2006,Action,Konami Digital Entertainment,0.32,75,46,7.4,33
DS,2008,Adventure,Konami Digital Entertainment,0.08,75,15,8.3,4
DS,2005,Misc,Nintendo,0.03,71,49,7,37
DS,2006,Misc,Nintendo,0.36,87,51,8.6,105
PC,2009,Strategy,Paradox Interactive,0.02,71,27,7.1,38
PC,2010,Simulation,Deep Silver,0.07,61,9,6.2,12
Wii,2008,Racing,Ubisoft,0.47,41,12,4.2,15
Wii,2008,Racing,Codemasters,0.02,40,21,4.3,4
PC,2001,Strategy,Vivendi Games,0.05,81,23,8.2,126
PC,2005,Strategy,Vivendi Games,0.03,79,39,7.1,89
PC,2007,Strategy,Vivendi Games,0.04,50,40,2.8,53
PC,2009,Strategy,Sega,1.08,90,62,6.9,2981
X360,2006,Role-Playing,Ubisoft,0.19,69,54,6.9,60
PS3,2007,Role-Playing,Ubisoft,0.2,64,23,5.9,40
XB,2002,Adventure,Swing! Entertainment,0.14,66,28,8.4,13
PS2,2002,Shooter,Empire Interactive,0.08,57,12,6.8,5
Wii,2007,Adventure,Nintendo,1.06,72,42,8.1,61
Wii,2009,Simulation,Nintendo,0.86,76,42,8.5,26
X360,2014,Shooter,Namco Bandai Games,0.04,35,8,5.8,78
PS3,2014,Shooter,City Interactive,0.05,43,12,6,75
PC,2007,Shooter,Activision,0.02,84,55,8.3,231
PS3,2008,Shooter,Activision,0.35,60,30,6.4,14
X360,2008,Shooter,Activision,0.45,69,54,7.3,26
PS3,2010,Action,Namco Bandai Games,0.55,80,53,7.4,312
X360,2010,Action,Namco Bandai Games,0.54,82,72,7.8,295
XB,2003,Action,Atari,1.2,65,33,7.1,75
GC,2003,Action,Atari,0.45,63,23,8,45
PS2,2003,Action,Atari,3.18,62,30,8.1,137
